,max_elev,QBER,sifted_key,total_coincidence,pass_duration
0,31,0.05595399999999998,4812.0,9660.0,57.5
1,32,0.05595399999999999,6569.5,13188.0,78.5
2,33,0.051203363975419025,8411.5,16877.0,94.5
3,34,0.049565657924316914,9692.0,19443.0,106.5
4,35,0.04878336682222748,10716.5,21497.0,116.5
5,36,0.04604055192664775,13531.0,27029.5,125.5
6,37,0.0452123919639744,14978.5,29888.5,132.5
7,38,0.044728947149272724,16217.5,32340.5,139.5
8,39,0.04377924110420365,18874.5,37727.0,144.5
9,40,0.04339440526187813,20612.0,41225.0,150.5
10,41,0.04311076257171523,21840.0,43699.0,154.5
11,42,0.04236091966382807,23744.5,47567.0,158.5
12,43,0.04165799027069248,25713.0,51572.0,162.5
13,44,0.041255463176549524,27087.0,54362.0,165.5
14,45,0.040979232872122434,28251.5,56721.0,168.5
15,46,0.040783637202782566,29553.5,59313.5,171.5
16,47,0.040646477474584684,31951.0,63860.5,174.5
17,48,0.040509915820294215,33436.0,66730.5,176.5
18,49,0.040467887549199,34717.0,69217.5,179.5
19,50,0.040372120858868425,35730.0,71192.5,181.5
20,51,0.04031388218316669,36732.0,73146.5,183.5
21,52,0.039147527345236494,39177.5,78047.5,184.5
22,53,0.03874108062796855,40596.0,80864.5,186.5
23,54,0.03842077794615338,41921.0,83500.5,188.5
24,55,0.03818964291214734,42893.5,85426.5,189.5
25,56,0.037989624197175206,43815.5,87253.5,190.5
26,57,0.037849609938312975,44759.0,89129.5,192.5
27,58,0.03720580204956879,46696.5,93027.0,193.5
28,59,0.03673574978035977,48229.5,96116.0,194.5
29,60,0.03647168287880811,49418.0,98492.0,195.5
30,61,0.036224399141828525,50431.5,100525.0,196.5
31,62,0.03605837072735427,51312.5,102290.0,197.5
32,63,0.0358953002926593,52161.0,103989.0,198.5
33,64,0.03573781932384866,52801.5,105266.0,198.5
34,65,0.03561002298121071,53485.0,106639.0,199.5
35,66,0.03550775617189947,54188.5,108044.0,200.5
36,67,0.03513839672360649,56284.0,112222.5,200.5
37,68,0.034862812512572255,58037.0,115725.5,201.5
38,69,0.03470712468701861,59326.0,118289.5,202.5
39,70,0.03455274908876206,60238.5,120113.5,202.5
40,71,0.03445950642412685,61150.0,121931.5,203.5
41,72,0.03434068483568672,61839.5,123302.5,203.5
42,73,0.03428193800959982,62573.5,124768.5,204.5
43,74,0.03417702223193173,63169.0,125966.5,204.5
44,75,0.03410677764551009,63650.5,126924.5,204.5
45,76,0.03407241860199286,64255.5,128128.5,205.5
46,77,0.0340050219651584,64570.0,128762.5,205.5
47,78,0.0339438299662039,65091.5,129798.5,205.5
48,79,0.033939069552566405,65467.0,130545.5,206.5
49,80,0.03387806744745881,65739.5,131093.5,206.5
50,81,0.03386507045706692,65909.0,131433.5,206.5
51,82,0.03381451141114503,66303.0,132215.5,206.5
52,83,0.033798932691592065,66430.0,132468.5,206.5
53,84,0.033739383578436304,66702.5,133016.5,206.5
54,85,0.03377572606254193,66879.5,133364.5,207.5
55,86,0.03373733836750038,67326.5,134256.0,207.5
56,87,0.03368982268531652,67884.0,135364.0,207.5
57,88,0.03367528298787294,68107.0,135806.0,207.5
58,89,0.03366804875459657,68218.5,136027.0,207.5
59,90,0.03366804875459657,68218.5,136027.0,207.5
