,Unnamed: 0,max_elev,QBER,sifted_key,total_coincidence,pass_duration,finite_key_old
0,0,31,0.0559539999999999,4812.0,9660.0,57.5,0.0
1,1,32,0.0559539999999999,6569.5,13188.0,78.5,0.0
2,2,33,0.051203363975419,8411.5,16877.0,94.5,0.0
3,3,34,0.0495656579243169,9692.0,19443.0,106.5,0.0
4,4,35,0.0487833668222274,10716.5,21497.0,116.5,0.0
5,5,36,0.0460405519266477,13531.0,27029.5,125.5,0.0
6,6,37,0.0452123919639744,14978.5,29888.5,132.5,0.0
7,7,38,0.0447289471492727,16217.5,32340.5,139.5,0.0
8,8,39,0.0437792411042036,18874.5,37727.0,144.5,0.0
9,9,40,0.0433944052618781,20612.0,41225.0,150.5,0.0
10,10,41,0.0431107625717152,21840.0,43699.0,154.5,2.42037248669303
11,11,42,0.042360919663828,23744.5,47567.0,158.5,3.1415300007118994
12,12,43,0.0416579902706924,25713.0,51572.0,162.5,3.7467338811366906
13,13,44,0.0412554631765495,27087.0,54362.0,165.5,4.1377651056782625
14,14,45,0.0409792328721224,28251.5,56721.0,168.5,4.461486007119244
15,15,46,0.0407836372027825,29553.5,59313.5,171.5,4.81142592535259
16,16,47,0.0406464774745846,31951.0,63860.5,174.5,5.429112761242055
17,17,48,0.0405099158202942,33436.0,66730.5,176.5,5.831263299503157
18,18,49,0.040467887549199,34717.0,69217.5,179.5,6.16667110308558
19,19,50,0.0403721208588684,35730.0,71192.5,181.5,6.449340123792866
20,20,51,0.0403138821831666,36732.0,73146.5,183.5,6.723249838102283
21,21,52,0.0391475273452364,39177.5,78047.5,184.5,7.672974641523263
22,22,53,0.0387410806279685,40596.0,80864.5,186.5,8.17477759077829
23,23,54,0.0384207779461533,41921.0,83500.5,188.5,8.637543136245567
24,24,55,0.0381896429121473,42893.5,85426.5,189.5,8.982016891132552
25,25,56,0.0379896241971752,43815.5,87253.5,190.5,9.307393693616987
26,26,57,0.0378496099383129,44759.0,89129.5,192.5,9.62445982994611
27,27,58,0.0372058020495687,46696.5,93027.0,193.5,10.403259399174912
28,28,59,0.0367357497803597,48229.5,96116.0,194.5,11.024284180587763
29,29,60,0.0364716828788081,49418.0,98492.0,195.5,11.480625808674642
30,30,61,0.0362243991418285,50431.5,100525.0,196.5,11.883297636845525
31,31,62,0.0360583707273542,51312.5,102290.0,197.5,12.219595260897979
32,32,63,0.0358953002926593,52161.0,103989.0,198.5,12.547881143821456
33,33,64,0.0357378193238486,52801.5,105266.0,198.5,12.810956660534371
34,34,65,0.0356100229812107,53485.0,106639.0,199.5,13.078406679188392
35,35,66,0.0355077561718994,54188.5,108044.0,200.5,13.344174109857624
36,36,67,0.0351383967236064,56284.0,112222.5,200.5,14.17293832883079
37,37,68,0.0348628125125722,58037.0,115725.5,201.5,14.865520702117138
38,38,69,0.0347071246870186,59326.0,118289.5,202.5,15.36128309985103
39,39,70,0.034552749088762,60238.5,120113.5,202.5,15.735129983966486
40,40,71,0.0344595064241268,61150.0,121931.5,203.5,16.083900186838598
41,41,72,0.0343406848356867,61839.5,123302.5,203.5,16.37156625755998
42,42,73,0.0342819380095998,62573.5,124768.5,204.5,16.64801114075255
43,43,74,0.0341770222319317,63169.0,125966.5,204.5,16.90041696719739
44,44,75,0.03410677764551,63650.5,126924.5,204.5,17.098514828967623
45,45,76,0.0340724186019928,64255.5,128128.5,205.5,17.32242882613033
46,46,77,0.0340050219651584,64570.0,128762.5,205.5,17.46323579344553
47,47,78,0.0339438299662039,65091.5,129798.5,205.5,17.67286016539955
48,48,79,0.0339390695525664,65467.0,130545.5,206.5,17.804782036582928
49,49,80,0.0338780674474588,65739.5,131093.5,206.5,17.929305851060256
50,50,81,0.0338650704570669,65909.0,131433.5,206.5,17.994467944989136
51,51,82,0.033814511411145,66303.0,132215.5,206.5,18.156380683838
52,52,83,0.033798932691592,66430.0,132468.5,206.5,18.208317089897847
53,53,84,0.0337393835784363,66702.5,133016.5,206.5,18.333178166816797
54,54,85,0.0337757260625419,66879.5,133364.5,207.5,18.376330655111165
55,55,86,0.0337373383675003,67326.5,134256.0,207.5,18.55154791290955
56,56,87,0.0336898226853165,67884.0,135364.0,207.5,18.770582609716058
57,57,88,0.0336752829878729,68107.0,135806.0,207.5,18.856071694818468
58,58,89,0.0336680487545965,68218.5,136027.0,207.5,18.89882995025598
59,59,90,0.0336680487545965,68218.5,136027.0,207.5,18.89882995025598
