m, l, beta, nu, xi 
3100.0, -150.33941416467064 ,0.5, 0.08849115, 0.149985 
3790.0, -103.6366164819363 ,0.5, 0.08181000000000002, 0.13635000000000003 
4480.0, -35.78161111734342 ,0.495, 0.07485615000000001, 0.12271500000000002 
5170.0, 32.44469391600106 ,0.485, 0.07044750000000001, 0.113625 
5860.0, 106.48358957762696 ,0.5, 0.06376635000000001, 0.10453500000000002 
6550.0, 185.48253091330676 ,0.48, 0.06299370000000001, 0.09999000000000001 
7240.0, 268.1505804132481 ,0.465, 0.062039250000000004, 0.095445 
7930.0, 348.19900399933044 ,0.48, 0.058176000000000005, 0.09090000000000001 
8620.0, 447.04470851224073 ,0.47000000000000003, 0.05613075000000001, 0.08635500000000002 
9310.0, 541.9760098983717 ,0.43, 0.05872140000000001, 0.08635500000000002 
10000.0, 640.4701376366668 ,0.445, 0.054812700000000006, 0.08181000000000001 


