m,l,beta,nu,xi
3100.0,-207.0262197604365,0.5, 0.06931125, 0.113625 
3790.0,-189.0132612328254,0.495, 0.06376635000000001, 0.10453500000000002 
4480.0,-157.47283930356184,0.5, 0.05822145, 0.095445 
5170.0,-111.70260933386888,0.5, 0.05354010000000001, 0.08635500000000002 
5860.0,-78.26731425826898,0.5, 0.051540300000000004, 0.08181000000000001 
6550.0,-37.23867719217375,0.5, 0.048676950000000004, 0.077265 
7240.0,12.983706356320496,0.49, 0.04654080000000001, 0.07272 
7930.0,66.16324953344716,0.5, 0.04295025000000001, 0.06817500000000001 
8620.0,97.74042222438081,0.455, 0.04567725000000001, 0.06817500000000001 
9310.0,165.9702501458436,0.485, 0.0413595, 0.06363 
10000.0,205.69046630753633,0.435, 0.0439047, 0.06363 

