input_filename, alice_singles_rate, bob_singles_rate, coincidence_window(ps), coincidence_count_rate, sifted_key_length, num_error, QBER, hv_count,ad_count,alice_efficiency(%), bob_effeciency(%),duration(s),hv_QBER,ad_QBER
6_4mw29dB.ttbin,7439410.104238,11058.548157,1500,2100.523218,56986,2040,0.035798,36120,20866,18.994566,0.028235,50.022299,0.030759,0.044522
6_4mw00dB.ttbin,7619962.76932,8372333.0644,1500,1785285.797034,6189190,190375,0.030759,3935764,2253426,21.323636,23.429062,6.517413,0.02484,0.041098
6_4mw10dB.ttbin,7500927.817287,805617.540039,1500,166950.964905,895458,30134,0.033652,570849,324609,20.723353,2.225738,9.939739,0.027766,0.044004
6_4mw20dB.ttbin,7257192.482298,79321.656013,1500,16263.577555,86837,3080,0.035469,55118,31719,20.503326,0.224103,9.927705,0.028974,0.046754
6_4mw30dB.ttbin,7255286.279141,8890.40834,1500,1662.824585,44844,1596,0.03559,28586,16258,18.703579,0.022919,49.945737,0.02991,0.045578
6_4mw31dB.ttbin,7923381.406982,7797.102631,1500,1406.214425,38136,1629,0.042716,24440,13696,18.035089,0.017748,49.949708,0.032897,0.060237
6_4mw32dB.ttbin,8081300.512895,6195.132635,1500,1095.98526,29399,1319,0.044865,18747,10652,17.69107,0.013562,49.966,0.032432,0.066748
6_4mw33dB.ttbin,8472991.769827,4091.372403,1500,656.252657,17811,944,0.053001,11387,6424,16.039915,0.007745,49.942655,0.04391,0.069116
6_4mw34dB.ttbin,8009514.199439,4116.477165,1500,673.156419,18272,792,0.043345,11542,6730,16.352731,0.008404,49.936388,0.038728,0.051263
6_4mw35dB.ttbin,8133067.59541,3236.993026,1500,492.77138,13470,593,0.044024,8496,4974,15.223121,0.006059,49.927818,0.043315,0.045235
6_4mw36dB.ttbin,7819765.261725,2902.834342,1500,430.031003,11632,490,0.042125,7439,4193,14.814176,0.005499,49.970816,0.043823,0.039113
6_4mw37dB.ttbin,8145478.637039,2558.402724,1500,350.504407,9542,445,0.046636,6120,3422,13.700126,0.004303,50.099227,0.048203,0.043834
6_4mw38dB.ttbin,7982301.963028,2188.458388,1500,281.911397,7604,397,0.052209,4896,2708,12.881734,0.003532,49.930582,0.050858,0.054653
6_4mw39dB.ttbin,7504111.290813,1811.260475,1500,205.400053,5557,306,0.055066,3541,2016,11.340172,0.002737,49.946433,0.048856,0.065972
6_4mw40dB.ttbin,7738301.604948,1646.805147,1500,173.651578,4689,310,0.066112,3032,1657,10.544756,0.002244,49.916045,0.060026,0.077248
6_4mw41dB.ttbin,8088722.805296,1472.155154,1500,133.821365,3552,243,0.068412,2276,1276,9.090167,0.001654,49.939709,0.061951,0.079937
