input_filename, alice_singles_rate, bob_singles_rate, coincidence_window(ps), coincidence_count_rate, sifted_key_length, num_error, QBER, hv_count,ad_count,alice_efficiency(%), bob_effeciency(%),duration(s),hv_QBER,ad_QBER
3_88mW33dB.ttbin,4408313.198960,3233.927650,1500,531.458956,13342,394,0.029531,8415,4927,16.433854,0.012056,49.962466,0.023054,0.040593
3_88mW00dB.ttbin,4415623.640422,4993764.977527,1500,1081246.248794,27149878,733206,0.027006,17280601,9869277,21.651925,24.486830,49.941611,0.015103,0.047847
3_88mW30dB.ttbin,4406633.670358,5731.965582,1500,1054.098433,26346,700,0.026569,16615,9731,18.389825,0.023921,49.942205,0.020584,0.036790
3_88mW31dB.ttbin,4096259.096950,4948.229238,1500,888.922752,22238,561,0.025227,14198,8040,17.964462,0.021701,49.962722,0.020285,0.033955
3_88mW32dB.ttbin,4220955.509300,4368.366639,1500,778.215344,19706,483,0.024510,12430,7276,17.814790,0.018437,49.919345,0.018906,0.034085
3_88mW34dB.ttbin,4317494.146581,2806.173105,1500,442.325690,11098,366,0.032979,6946,4152,15.762595,0.010245,49.960924,0.025626,0.045279
3_88mW35dB.ttbin,4440971.991613,2331.046916,1500,337.504783,8504,292,0.034337,5384,3120,14.478678,0.007600,49.957810,0.024703,0.050962
3_88mW36dB.ttbin,4550085.439215,2089.122069,1500,286.949163,7151,227,0.031744,4548,2603,13.735395,0.006306,49.939159,0.026385,0.041106
3_88mW37dB.ttbin,4122219.229595,1736.569856,1500,208.067908,5236,183,0.034950,3311,1925,11.981546,0.005047,49.926008,0.028390,0.046234
3_88mW38dB.ttbin,4253044.473708,1636.631572,1500,187.748164,4655,160,0.034372,2919,1736,11.471621,0.004414,49.960542,0.032888,0.036866
3_88mW39dB.ttbin,4332430.475441,1414.247635,1500,140.214295,3538,164,0.046354,2211,1327,9.914409,0.003236,49.980639,0.037087,0.061794
3_88mW40dB.ttbin,4464371.906863,1319.928098,1500,122.417206,3033,144,0.047478,1942,1091,9.274536,0.002742,49.960297,0.035015,0.069661

