input_filename, alice_singles_rate, bob_singles_rate, coincidence_window(ps), coincidence_count_rate, sifted_key_length, num_error, QBER, hv_count,ad_count,alice_efficiency(%), bob_effeciency(%),duration(s),hv_QBER,ad_QBER
5_4mW00dB.ttbin,5668360.591890,6435515.260383,1500,1395243.661278,5992093,133334,0.022252,3789661,2202432,21.680372,24.614589,8.548903,0.018392,0.028893
5_4mW30dB.ttbin,5818189.296647,6801.983774,1500,1280.455251,32138,965,0.030027,19999,12139,18.824733,0.022008,50.029081,0.026951,0.035094
5_4mW31dB.ttbin,5837201.712968,5810.627716,1500,1058.626514,26531,801,0.030191,16596,9935,18.218798,0.018136,49.965686,0.026271,0.036739
5_4mW32dB.ttbin,5717956.345195,4588.611052,1500,805.956642,20181,638,0.031614,12542,7639,17.564283,0.014095,49.945615,0.026710,0.039665
5_4mW33dB.ttbin,5804482.425326,3927.266468,1500,658.887891,16572,574,0.034637,10255,6317,16.777265,0.011351,49.959941,0.028864,0.044008
5_4mW34dB.ttbin,5685718.903466,3316.304604,1500,532.939986,13460,526,0.039079,8421,5039,16.070297,0.009373,49.947463,0.032063,0.050804
5_4mW35dB.ttbin,5943739.535410,2885.480018,1500,439.727760,10935,422,0.038592,6839,4096,15.239328,0.007398,50.074164,0.036263,0.042480
5_4mW36dB.ttbin,5728157.167687,2454.967908,1500,353.522269,8819,365,0.041388,5436,3383,14.400281,0.006172,49.928962,0.037712,0.047295
5_4mW37dB.ttbin,5799024.775631,2036.208502,1500,266.933723,6703,284,0.042369,4235,2468,13.109351,0.004603,49.918758,0.036600,0.052269
5_4mW38dB.ttbin,5439577.682421,1685.057098,1500,189.936900,4734,221,0.046684,2963,1771,11.271838,0.003492,49.969227,0.037800,0.061547
5_4mW39dB.ttbin,5288533.924685,1609.135189,1500,168.437892,4182,234,0.055954,2563,1619,10.467604,0.003185,49.970941,0.046820,0.070414
5_4mW40dB.ttbin,5229279.456273,1443.244551,1500,135.971168,3358,183,0.054497,2140,1218,9.421215,0.002600,49.944412,0.046262,0.068966
5_4mW41dB.ttbin,5504381.190504,1359.751381,1500,119.198074,2982,152,0.050973,1904,1078,8.766167,0.002166,49.925303,0.048319,0.055659
