input_filename, alice_singles_rate, bob_singles_rate, coincidence_window(ps), coincidence_count_rate, sifted_key_length, num_error, QBER, hv_count,ad_count,alice_efficiency(%), bob_effeciency(%),duration(s),hv_QBER,ad_QBER
8mW00dB.ttbin,580795.919129,2785059.964465,1500,131108.460037,6770553,272946,0.040314,3933817,2836736,4.707563,22.573929,103.603063,0.036271,0.04592
8mW10dB.ttbin,10459519.308154,1090533.43394,1500,235705.846538,5362564,221820,0.041365,3126156,2236408,21.613812,2.253506,45.712523,0.036434,0.048257
8mW20dB.ttbin,10785081.29184,120953.56496,1500,25749.08389,614436,26330,0.042852,355978,258458,21.288404,0.238747,47.970095,0.03853,0.048805
8mW26dB.ttbin,10345784.352809,28336.175836,1500,5918.661866,147092,6245,0.042456,85847,61245,20.887299,0.057208,49.879349,0.038545,0.047939
8mW27dB.ttbin,10638735.451037,22844.135481,1500,4718.886915,114726,5146,0.044855,67125,47601,20.656886,0.044356,48.665926,0.040998,0.050293
8mW28dB.ttbin,10597629.108346,18056.319849,1500,3699.475854,88873,3988,0.044873,52146,36727,20.488537,0.034909,47.941386,0.039562,0.052414
8mW29dB.ttbin,10633759.427625,13771.932109,1500,2789.397093,66213,3086,0.046607,38698,27515,20.254218,0.026232,47.745443,0.040932,0.054588
8mW30dB.ttbin,10537456.431109,11808.08196,1500,2371.966656,56767,2629,0.046312,33226,23541,20.087654,0.02251,48.172684,0.042256,0.052037
8mW31dB.ttbin,10328948.944048,8523.586734,1500,1668.786804,40823,1840,0.045073,23858,16965,19.578457,0.016156,49.005661,0.041496,0.050103
8mW32dB.ttbin,10495028.128343,7266.252288,1500,1393.914222,33480,1549,0.046266,19372,14108,19.1834,0.013282,48.429092,0.042484,0.05146
8mW33dB.ttbin,10733041.10049,6025.546322,1500,1135.259159,26702,1405,0.052618,15718,10984,18.840767,0.010577,47.447316,0.047716,0.059632
8mW34dB.ttbin,11250530.735841,5085.551014,1500,924.990262,20847,1141,0.054732,12175,8672,18.188595,0.008222,45.636156,0.049035,0.062731
8mW35dB.ttbin,11320548.523155,4391.794794,1500,779.343724,17552,977,0.055663,10048,7504,17.745449,0.006884,45.358677,0.051553,0.061167
8mW36dB.ttbin,11142543.568679,3823.0508,1500,651.500837,14955,798,0.05336,8699,6256,17.041386,0.005847,46.0245,0.049316,0.058983
8mW37dB.ttbin,10686021.122293,3115.294372,1500,510.677114,12109,662,0.05467,7047,5062,16.39258,0.004779,47.568217,0.053498,0.056302
8mW38dB.ttbin,10805388.433818,2536.234809,1500,387.103952,9110,554,0.060812,5393,3717,15.262938,0.003583,47.235374,0.059522,0.062685
8mW39dB.ttbin,10525445.822271,2297.401708,1500,334.432287,8026,454,0.056566,4768,3258,14.556979,0.003177,48.275841,0.059144,0.052793
8mW40dB.ttbin,10859478.487699,2018.237019,1500,273.661421,6400,420,0.065625,3801,2599,13.559429,0.00252,46.985066,0.063667,0.068488
8mW42dB.ttbin,10780095.176867,1467.761845,1500,159.757541,3773,302,0.080042,2204,1569,10.884432,0.001482,47.32171,0.082577,0.076482
8mW44dB.ttbin,10602609.904426,1272.067136,1500,117.106248,2723,232,0.0852,1564,1159,9.20598,0.001105,48.007686,0.087596,0.081967
8mW46dB.ttbin,10557819.480204,1064.921003,1500,74.436113,1774,218,0.122886,1066,708,6.989825,0.000705,48.081501,0.123827,0.121469
8mW48dB.ttbin,10601893.263349,964.841443,1500,51.835321,1197,192,0.160401,756,441,5.372419,0.000489,47.978868,0.17328,0.138322
