input_filename, alice_singles_rate, bob_singles_rate, coincidence_window(ps), coincidence_count_rate, sifted_key_length, num_error, QBER, hv_count,ad_count,alice_efficiency(%), bob_effeciency(%),duration(s),hv_QBER,ad_QBER
4_27mW27dB.ttbin,3733439.798055,10781.714622,1500,1712.454400,45312,1074,0.023702,35608,9704,15.882951,0.045868,49.940016,0.021147,0.033079
4_27mW00dB.ttbin,4716558.588977,5188898.548847,1500,1124226.776842,29646025,647101,0.021828,18837273,10808752,21.666000,23.835743,49.969524,0.017053,0.030149
4_27mW10dB.ttbin,3811575.354513,498688.243034,1500,86653.470153,2297285,46436,0.020213,1808137,489148,17.376281,2.273429,49.953614,0.018701,0.025804
4_27mW20dB.ttbin,4140618.421982,55165.925599,1500,9338.197546,249222,5609,0.022506,196302,52920,16.927474,0.225527,49.943257,0.020514,0.029894
4_27mW26dB.ttbin,3749679.739512,14426.043899,1500,2348.244140,62171,1403,0.022567,48842,13329,16.277811,0.062625,49.940719,0.019389,0.034211
4_27mW28dB.ttbin,3830684.211017,8244.021202,1500,1266.962280,33533,794,0.023678,26357,7176,15.368256,0.033074,49.963603,0.021778,0.030658
4_27mW29dB.ttbin,3687475.588828,6789.197261,1500,1026.474797,27384,611,0.022312,21564,5820,15.119237,0.027837,49.918420,0.021517,0.025258
4_27mW30dB.ttbin,4069103.930957,5904.800366,1500,863.163245,23037,563,0.024439,18183,4854,14.617992,0.021213,49.962739,0.022274,0.032550
4_27mW31dB.ttbin,3999239.715434,4795.408691,1500,671.514528,17778,441,0.024806,13969,3809,14.003280,0.016791,49.964667,0.023337,0.030192
4_27mW32dB.ttbin,4006946.527602,4086.353365,1500,549.201441,14695,395,0.026880,11553,3142,13.439891,0.013706,49.957990,0.025448,0.032145
4_27mW33dB.ttbin,3848194.809605,3334.822634,1500,416.567605,11118,287,0.025814,8642,2476,12.491447,0.010825,49.960678,0.024994,0.028675
4_27mW34dB.ttbin,3754125.508640,2834.982223,1500,330.995904,8735,241,0.027590,6822,1913,11.675414,0.008817,49.937174,0.026385,0.031887
4_27mW35dB.ttbin,3586741.145947,2383.034470,1500,280.873934,7445,177,0.023774,5898,1547,11.786398,0.007831,49.954796,0.021872,0.031028
4_27mW36dB.ttbin,3638509.590123,2025.229748,1500,219.316489,5786,182,0.031455,4524,1262,10.829215,0.006028,49.959764,0.030283,0.035658
4_27mW37dB.ttbin,4056879.499304,1840.085903,1500,185.511821,4913,169,0.034399,3861,1052,10.081693,0.004573,49.959081,0.031857,0.043726
4_27mW38dB.ttbin,4138439.243127,1646.840334,1500,150.258643,3945,160,0.040558,3153,792,9.124057,0.003631,49.960520,0.039010,0.046717
4_27mW39dB.ttbin,4151668.083895,1417.640219,1500,112.416762,3024,139,0.045966,2399,625,7.929851,0.002708,49.956963,0.041267,0.064000
4_27mW40dB.ttbin,4078263.012501,1289.992120,1500,88.606005,2272,100,0.044014,1798,474,6.868724,0.002173,49.951468,0.047275,0.031646
4_27mW41dB.ttbin,3966901.111612,1124.589049,1500,62.519459,1665,82,0.049249,1320,345,5.559316,0.001576,49.920458,0.042424,0.075362
